source,target,weight
28,6072,0.22536
28,6156,0.44085
29,387,0.31312
29,548,0.27247
29,876,0.23205
29,922,0.20429
29,997,0.24678
29,1400,0.40219
29,2097,0.36258
29,2300,0.21829
29,2368,0.27718
29,2387,0.32433
29,2461,0.2821
29,2543,0.31554
29,2575,0.26299
29,3926,0.23343
29,4215,0.34912
29,4361,0.62184
29,4373,0.37157
29,4562,0.20991
29,4912,0.21805
29,5652,0.48287
30,1054,0.42634
30,1152,0.29686
30,1264,0.25518
30,1293,0.23927
30,1731,0.44944
30,1995,0.43286
30,2549,0.45113
30,2646,0.2434
30,2863,0.26213
30,2990,0.48011
30,3074,0.63849
30,3126,0.26732
30,3547,0.23427
30,3767,0.43286
30,3881,0.20236
30,4355,0.36164
30,4779,0.50247
30,5034,0.48011
30,5098,0.49019
30,5280,0.22725
30,5691,0.22725
30,5852,0.23675
30,6063,0.52721
31,730,0.45333
31,1101,0.42151
31,1203,0.24081
31,1440,0.58996
31,1843,0.24747
31,2200,0.25148
31,2323,0.48049
31,3053,0.30239
31,4292,0.39674
31,4413,0.29452
31,4633,0.38799
31,4715,0.44197
31,4756,0.20945
31,4856,0.6093
31,5341,0.62768
31,5555,0.40081
31,5610,0.59478
31,5614,0.61519
31,5720,0.36122
31,5780,0.56965
31,5853,0.26163
31,6149,0.28514
34,100,0.22509
34,110,0.21509
34,115,0.24047
34,161,0.25171
34,244,0.26933
34,616,0.22489
34,1361,0.23074
34,1448,0.24819
34,1650,0.22559
34,1848,0.27298
34,2553,0.2049
34,2582,0.23479
34,3091,0.24916
34,3983,0.24314
34,4071,0.38214
34,4402,0.22116
34,4424,0.20938
34,4537,0.24471
34,4582,0.26178
34,4799,0.31747
35,454,0.25049
35,1467,0.21187
35,1544,0.24533
35,2663,0.36122
35,2765,0.42151
35,3148,0.22715
35,3938,0.34538
35,4993,0.20438
37,1015,0.24979
37,1446,0.21528
37,5024,0.27619
37,5126,0.33828
37,5803,0.24731
38,277,0.4304
38,317,0.30089
38,348,0.21067
38,436,0.21563
38,646,0.30014
38,666,0.21596
38,691,0.23545
38,714,0.22859
38,884,0.30444
38,944,0.27966
38,981,0.35678
38,1036,0.20393
38,1098,0.30194
38,1144,0.20817
38,1211,0.25333
38,1216,0.4517
38,1223,0.25346
38,1238,0.22089
38,1369,0.20974
38,1380,0.33657
38,1496,0.26206
38,1514,0.20615
38,1679,0.2208
38,1758,0.21307
38,1999,0.20895
38,2032,0.24623
38,2160,0.22158
38,2172,0.25832
38,2225,0.2822
38,2272,0.20939
38,2328,0.29397
38,2401,0.21196
38,2481,0.24779
38,2507,0.2339
38,2647,0.38206
38,2846,0.20656
38,2959,0.24956
38,3439,0.24351
38,3454,0.21056
38,3612,0.23319
38,3933,0.29986
38,4011,0.22493
38,4257,0.21592
38,4285,0.32797
38,4343,0.29429
38,4349,0.24363
38,4380,0.20202
38,4394,0.23859
38,4423,0.29193
38,4443,0.22823
38,4547,0.2053
38,4560,0.26111
38,4598,0.25937
38,4602,0.20391
38,4807,0.34364
38,5040,0.23717
38,5190,0.3176
38,5192,0.21437
38,5215,0.3706
38,5292,0.22328
38,5318,0.21108
38,5333,0.32918
